city,district,fdi,long,lat
Kampala,Kampala,380.2126574514,32.5825,0.3476
Mbale,Mbale,209.6057203047,34.181,1.0784
Jinja,Jinja,182.367715793,33.2026,0.4479
Mbarara,Mbarara,104.7515216083,30.6545,-0.6072
Tororo,Tororo,81.6293499695,34.1866,0.6782
Arua,Arua,14.9003523511,30.9073,3.0303
Gulu,Gulu,14.9003523511,32.2881,2.7724
Soroti,Soroti,14.2363396441,33.6064,1.7132
Entebbe,Wakiso,7.8748621287,32.4637,0.0512
Kawanda,Wakiso,9.1,32.5415,0.4223
Mityana,Mityana,6.2792674939,32.0837,0.4455
Fort Portal,Kabarole,5.3595631601,30.2801,0.6546
Lira,Lira,5.3595631601,32.8874,2.2581
